time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,eval/mean_reward,eval/mean_ep_length
89088,98.37,577,154,-169.986,87,0.2,0.0090402495,-0.9419062405824661,860,1336.1587799072265,463.9138488769531,-0.010441932553658263,0.0003,0.0625,-0.17209088802337646,,
90112,,,,,,0.2,0.0114382915,-0.8014486353844404,870,426.2214981079102,160.80508422851562,-0.008909742318792269,0.0003,0.07177734375,0.4263113737106323,-630.1800149917602,162.0
90112,99.15,578,155,-171.99849999999995,88,,,,,,,,,,,,
91136,97.38,581,156,-167.34099999999998,89,0.2,0.0061230417,-0.9161380182951688,880,1290.001978302002,350.9485778808594,-0.005397488290327601,0.0003,0.02763671875,0.39212125539779663,,
92160,101.71,583,157,-182.18300000000002,90,0.2,0.005977754,-0.9364429794251918,890,1522.556367111206,656.6343994140625,-0.004667439419426956,0.0003,0.03271484375,0.16498714685440063,,
93184,103.77,586,158,-187.84500000000003,91,0.2,0.0068435324,-0.9055253073573113,900,845.5573593139649,469.8529357910156,-0.0058606057864381,0.0003,0.0419921875,0.6014281511306763,,
94208,101.78,588,160,-182.26249999999996,92,0.2,0.005971625,-0.9893026683479548,910,871.9540441513061,254.84957885742188,-0.00592842151527293,0.0003,0.024609375,0.4862905740737915,,
95232,100.71,590,161,-179.31550000000004,93,0.2,0.0064936504,-0.9870315670967102,920,1326.0391746520995,266.1413269042969,-0.008118360469234176,0.0003,0.05458984375,0.2701706290245056,,
96256,100.55,593,162,-177.78199999999998,94,0.2,0.0063561536,-0.9461099285632372,930,1105.136996650696,553.186279296875,-0.005928548073279671,0.0003,0.026953125,0.48916518688201904,,
97280,105.66,595,163,-193.93099999999998,95,0.2,0.0063112006,-0.9289002329111099,940,1470.0724821090698,853.762939453125,-0.007612073150812648,0.0003,0.0384765625,0.3336738348007202,,
98304,,,,,,0.2,0.0059728436,-0.9401038695126772,950,1049.0177067756654,313.46881103515625,-0.008506942832900677,0.0003,0.0419921875,0.2701426148414612,-610.89001455307,161.2
98304,105.11,596,164,-194.23100000000002,96,,,,,,,,,,,,
99328,98.65,598,165,-171.33649999999997,97,0.2,0.010628883,-0.8927008081227541,960,534.550304698944,98.85549926757812,-0.00806751850177534,0.0003,0.10029296875,0.6630860567092896,,
100352,99.21,601,166,-172.77200000000002,98,0.2,0.004952511,-0.9171321906149388,970,1875.6537399291992,852.0465087890625,-0.004014189643203281,0.0003,0.00595703125,-0.1592785120010376,,
