#{"t_start": 1777807283.4421492, "env_id": "None"}
r,l,t
-571.6,200,137.254664
-139.6,111,137.3322
-495.9,200,137.465847
-82.65,95,137.52365
-120.25,94,137.577649
100.0,1,137.577649
92.2,9,137.583652
74.8,20,137.594637
-526.05,200,137.703547
-533.2,200,137.817901
85.4,18,137.8269
27.95,50,137.853984
-493.7,200,138.451099
89.55,7,138.456098
-518.4,200,138.581224
-29.85,68,138.621757
-120.8,98,138.677756
94.85,3,138.679756
-37.65,68,138.720288
-37.7,79,138.764375
-85.55,86,138.814505
-15.5,68,138.854689
78.6,12,138.860691
81.25,10,138.866685
-333.55,164,139.442611
58.2,27,139.459612
99.0,8,139.464612
-319.1,174,139.576119
-7.6,48,139.606126
-92.1,94,139.664655
-5.8,57,139.697719
-184.2,121,139.768512
-473.15,200,139.882355
88.05,8,139.887356
-525.7,200,139.996146
-338.45,180,140.581723
-137.5,106,140.65023
-519.65,200,140.774823
39.85,38,140.795901
-497.7,200,140.907591
48.45,36,140.929357
67.65,12,140.93636
-54.4,72,140.976269
-484.5,200,141.079795
58.2,27,141.093796
-563.5,200,141.979696
-546.9,200,142.108431
-68.8,82,142.156131
-620.15,200,142.266906
-186.75,122,142.332679
-472.8,200,142.435492
-220.7,145,143.002637
-574.0,200,143.127713
96.85,5,143.130713
84.9,15,143.140713
101.0,2,143.142713
-499.6,200,143.258563
-576.3,200,143.367789
-198.25,133,143.435562
79.4,9,143.440565
-245.35,159,144.049428
-70.2,63,144.100056
-494.4,200,144.256693
93.7,5,144.259692
-88.0,87,144.313857
-504.75,200,144.433074
-92.2,77,144.476077
-46.8,76,144.520089
95.85,4,144.522604
85.1,17,144.533608
56.7,23,144.547607
-488.95,200,144.657479
-491.25,200,145.452579
-501.5,200,145.590204
-350.55,194,145.710658
-64.85,78,145.759404
65.3,13,145.767405
-599.2,200,145.891448
-177.95,103,145.951097
-568.55,200,146.632725
22.65,47,146.665728
65.5,21,146.682727
32.15,27,146.701726
-322.9,176,146.81429
-148.7,107,146.877935
-666.75,200,146.993805
72.85,22,147.00681
-89.9,96,147.062387
88.55,7,147.067388
35.95,34,147.089643
-557.35,200,147.856342
62.15,36,147.883325
-474.05,200,148.020881
